,article,cateogry ID,FP/FN/TP/TN
206,190496,No Mapping,TN
294,190500,No Mapping,TN
187,190501,No Mapping,TN
7,190512,Trump meeting,TP
462,190512,No Mapping,TN
292,190517,No Mapping,TN
205,190518,No Mapping,TN
141,190519,No Mapping,TN
181,190520,No Mapping,TN
85,190522,No Mapping,TN
2719,190522,Venezuela,TP
285,190524,No Mapping,TN
284,190525,No Mapping,TN
100,190526,No Mapping,TN
177,190528,No Mapping,TN
114,214874,No Mapping,TN
23,214875,No Mapping,TN
12,214876,Trump meeting,FP
321,214876,No Mapping,TN
183,214877,No Mapping,TN
44,214878,No Mapping,TN
29,214879,No Mapping,TN
53,214880,No Mapping,TN
20,214883,No Mapping,TN
97,214884,No Mapping,TN
117,214885,No Mapping,TN
189,214886,No Mapping,TN
235,214887,No Mapping,TN
129,214888,No Mapping,TN
906,214888,Clinton Guccifer,TP
33,214889,No Mapping,TN
25,214891,No Mapping,TN
254,214892,No Mapping,TN
3324,214892,Penn State,TP
252,214893,No Mapping,TN
243,214894,No Mapping,TN
1813,214894,SpaceX,TP
148,214895,No Mapping,TN
169,214934,No Mapping,TN
1513,214934,Anthony Weiner,TP
81,214943,No Mapping,TN
59,214973,No Mapping,TN
